Structure Number1,GPS Lat,GPS Long,Wood Species2,Preservative3,Moisture %,Chlorine %,Sawdust Program wt.% Pres.,Sawdust Progrqm PCF,Comments
61 (1),45.44159 N,63.16713 W,SYP,Penta,10.2,,0.977,0.329,
61 (2),45.44159 N,63.16713 W,SYP,Penta,8.2,,0.256,0.086,
62 (1),45.44250 N,63.16206 W,DF,Penta,8,,0.072,0.02,
62 (2),45.44250 N,63.16206 W,DF,Penta,8.1,,0.002,0,
63 (1),45.44320 N,63.16206 W,RP,Penta,10.8,,0,0,
63 (2),45.44320 N,63.16206 W,RP,Penta,8.2,,0.422,0.103,
64 (1),45.44388 N,63.16026 W,RP,CCA,12,,,-1,Creo
64 (2),45.44388 N,63.16026 W,RP,CCA,11.6,,,-1,Creo
65 (1),45.44468 N,63.15788 W,DF,Penta,8.9,,0.965,0.271,
65 (2),45.44468 N,63.15788 W,DF,Penta,8.1,,0.678,0.19,
66 (1),45.44565 N,63.15511 W,DF,Penta,8.7,,1.024,0.569,
66 (2),45.44565 N,63.15511 W,DF,Penta,8.3,,0.171,0.048,
67 (1),45.44667 N,63.15244 W,RP,Penta,10.8,,,-1,Creo
67 (2),45.44667 N,63.15244 W,RP,Penta,8.1,,,-1,Creo
68 (1),45.44745 N,63.14990 W,DF,Penta,9.6,,0.088,0.025,
68 (2),45.44745 N,63.14990 W,DF,Penta,8.1,,0.26,0.073,
69 (1),45.44866 N,63.14624 W,DF,Penta,8.9,,0.096,0.027,
69 (2),45.44866 N,63.14624 W,DF,Penta,9.7,,0.024,0.007,
70 (1),45.44990 N,63.14287 W,DF,Penta,9.3,,0.143,0.04,
70 (2),45.44990 N,63.14287 W,DF,Penta,9.5,,0.229,0.064,
71 (1),45.45055 N,63.14083 W,RP,Penta,9.2,,,-1,Creo
71 (20,45.45055 N,63.14083 W,RP,Penta,9.7,,,-1,Creo
72 (1),45.45120 N,63.13912 W,RP,Penta,13.6,,0.092,0.026,
72 (2),45.45120 N,63.13912 W,RP,Penta,10.5,,-0.002,-0.001,Negative despite being run on low range calibration
73 (1),45.45189 N,63.13750 W,DF,Penta,12.1,,1.177,0.331,
73 (2),45.45189 N,63.13750 W,DF,Penta,15.6,,0.748,0.21,
74 (1),45.45277 N,63.13495 W,DF,Penta,10.9,,1.437,0.404,
74 (2),45.45277 N,63.13495 W,DF,Penta,11.2,,1.338,0.376,
75 (1),45.45340 N,63.13309 W,SYP,Penta,9.8,,1.272,0.429,
75 (2),45.45340 N,63.13309 W,SYP,Penta,14.3,,2.119,0.714,
76 (1),45.45403 N,63.13129 W,DF,Penta,10,,0.268,0.075,
76 (2),45.45403 N,63.13129 W,DF,Penta,9.1,,0.182,0.051,
77 (1),45.45053 N,63.12771 W,RP,Penta,9.2,,,-1,Creo
77 (2),45.45053 N,63.12771 W,RP,Penta,12,,0.015,0.004,
78 (1),45.45583 N,63.12552 W,RP ,Penta,11.7,,,-1,Creo
78 (2),45.45583 N,63.12552 W,RP ,Penta,9.2,,,-1,Creo
79 (1),45.45727 N,63.12176 W,RP,Penta,9,,,-1,Creo
79 (2),45.45727 N,63.12176 W,RP,Penta,9.7,,,-1,Creo
80 (1),45.45979 N,63.11993 W,SYP,Penta,16.6,,-0.007,-0.002,Rotten Pole
80 (2),45.45979 N,63.11993 W,SYP,Penta,12.8,,-0.004,0.001,Rotten Pole
81 (1),45.45840 N,63.11812 W,RP ,Penta,13.2,,0.389,0.094,
81 (2),45.45840 N,63.11812 W,RP,Penta,14.1,,1.216,0.295,
82 (1),45.45919 N,63.11577W,DF,Penta,9.1,,0.285,0.08,
82 (2) ,45.45919 N,63.11577 W,DF,Penta,9.4,,0.251,0.07,
83 (1),45.45990 N,63.11366 W,DF,Penta,10.3,,0.414,0.116,
83 (2),45.45990 N,63.11366 W,DF,Penta,10.1,,0.74,0.208,
84 (1),45.46082 N,63.11157 W,RP,Penta,7.2,,0.439,0.148,
84 (2),45.46082 N,63.11157 W,RP,Penta,9.6,,,-1,Creo
85 (1),45.46149 N,63.10938 W,SYP,Penta,9.8,,,-1,Creo
85 (2),45.46149 N,63.10938 W,SYP,Penta,7.8,,,-1,Creo
86 (1),45.46223 N,63.10742 W,RP,Penta,8.1,,,-1,Creo
86 (2),45.46223 N,63.10742 W,RP,Penta,6.8,,,-1,Creo
87 (1),45.46288 N,63.10538 W,SYP,Penta,9.5,,,-1,Creo
87 (2),45.46288 N,63.10538 W,SYP,Penta,7.1,,0.312,0.105,
88 (1),45.46375 N,63.10051 W,DF,Penta,6.1,,0.08,0.022,
88 (2),45.46375 N,63.10051 W,DF,Penta,8.2,,0.73,0.205,
89 (1),45.46469 N,63.10051 W,SYP,Penta,11.8,,1.291,0.435,
89 (2),45.46469 N,63.10051 W,SYP,Penta,10,,1.004,0.338,
90 (1),45.46526 N,63.09862 W,SYP,Penta,10.7,,0.392,0.132,
90 (2),45.46526 N,63.09862 W,SYP,Penta,9.1,,0.049,0.017,
91 (1),45.46595 N,63.09685 W,DF,Penta,9.1,,0.524,0.147,
91 (2),45.46595 N,63.09685 W,DF,Penta,9,,0.02,0.006,
92 (1),45.46884 N,63.09440 W,DF,Penta,10.6,,1.858,0.522,
92 (2),45.46884 N,63.09440 W,DF,Penta,10.5,,1.743,0.49,
93 (1),45.46765 N,63.09223 W,DF,Penta,6.2,,0.193,0.054,
93 (2),45.46765 N,63.09223 W,DF,Penta,6.8,,0.335,0.094,
94 (1),45.46842 N,63.09007 W,DF,Penta,6.2,,0.999,0.281,
94 (2),45.46842 N,63.09007 W,DF,Penta,6.8,,0.009,0.003,
95 (1),45.46937 N,63.08779 W,DF,Penta,9.5,,0.057,0.016,
95 (2),45.46937 N,63.08779 W,DF,Penta,8.6,,0.018,0.005,
96 (1),45.47016 N,63.08512 W,RP ,Penta,8.3,,,0,
96 (2),45.47016 N,63.08512 W,RP ,Penta,10.7,,,0,
97 (1),45.47081 N,63.08301 W,RP ,Penta,9.5,,0.946,0.345,
97 (2),45.47081 N,63.08301 W,RP ,Penta,8.2,,0.337,0.123,
98 (1),45.47165 N,63.08068 W,DF,Penta,10.6,,1.719,0.725,
98 (2),45.47165 N,63.08068 W,DF,Penta,9.6,,1.789,0.754,
99 (1),45.47260 N,63.07817 W,DF,Penta,9.3,,0.161,0.068,
99 (2),45.47260 N,63.07817 W,DF,Penta,8.3,,0.221,0.093,
100 (1),45.47319 N,63.07644 W,DF,Penta,8,,0.239,0.101,
100 (2),45.47319 N,63.07644 W,DF,Penta,8.5,,0.874,0.368,
101 (1),45.47407 N,63.07398 W,YP,Penta,8.2,,0.109,0.055,
101 (2),45.47407 N,63.07398 W,YP,Penta,8.6,,1.17,0.591,
102 (1),45.47494 N,63.07143 W,RP ,Penta,13.4,,,0,
